validfromdate,validfromyearweek,validtodate,personid,portfolioid,iscorporatepersonyn,dateinstroomweek,dateinstroommaand,instroomjaarweek,instroompakket,birthyear,geslacht,type,enofyn,corporateid,birthday,subtype,code,name,aantalbetaaltransacties,aantalatmtransacties,aantalpostransacties,aantalfueltransacties,lasttransaceow,pakketcategorie_x,betalenyn,saldobetalen,depositoyn,saldodeposito,flexibelsparenyn,saldoflexibelsparen,kwartaalsparenyn,saldokwartaalsparen,saldototaal,saldolangetermijnsparen,aantaltegenrekeningenlaatsteq,aantalloginsapp,aantalloginsweb,lastactivityeow,pakketcategorie_y,overstapserviceyn,betaalalertsyn,roodstandyn,saldoregulatieyn,appyn,activitystatus,accountoverlays
2014-07-14,201429,,58fa4f881c82803d8e84ce4811b194e4e6573a1a,7f2527835bf87027a1565d576f8234de66d08ae7,0,2014-07-20,2014-07-31,201429.0,Basis,1971.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,1.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,35962.81,0.0,0.0,1.0,61.63,0.0,0.0,36024.44,0.0,0.0,1.0,0.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,1.0,1.0,
2014-09-10,201437,,e90e1723cdf7e46eaf717060c0a82233f9d807ee,4536c7555e74cf81ad3e72d1321004dc22e358d8,0,2014-09-14,2014-09-30,201437.0,Plus,1993.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,201513,,d46e629680d64d6f9521358fd66f2c91c050d878,81ea3569d40c9299097bbea733c09720018a1227,0,2015-05-03,2015-05-31,201518.0,Plus,1969.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,15.0,0.0,0.0,0.0,2020-12-27,Particulier Betalend,1.0,457.77,0.0,0.0,0.0,0.0,1.0,8591.35,9049.12,8591.35,2.0,6.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,0.0,1.0,2.0,
2015-01-03,201501,,f5c67273d53e4b149eb06fa81dbb68b17674b19d,a90744ab7632d6174e27f09d4e68d8dbe69868e7,0,2015-01-11,2015-01-31,201502.0,Zakelijk,1967.0,Vrouw,Corporate Portfolio,0.0,f002699ea0029bf30a73c54e543138460dad3fbc,2007-01-01 00:00:00.000000,Eenmanszaak,85599.0,"85599 - Studiebegeleiding, vorming en onderwijs n.e.g.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,201502,,9bfdbd5a18a80631de2b12b62db9a46ca94fea36,0348c33a146b9f76cd4e6cff2ea540b343af0fef,0,2015-01-18,2015-01-31,201503.0,Plus,1949.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,201447,,7e0477c1b8f04e858871a0844e9fe5c0b582e3de,2cdaedb210df611953d79ef7e010d436d2e53f53,0,2014-11-23,2014-11-30,201447.0,Zakelijk,1962.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,04443ff136e32a4f4e0957830a4489cde3d36755,2002-12-31 00:00:00.000000,Besloten Vennootschap,69209.0,69209 - * Overige administratiekantoren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,201421,,ce0d863d47979dfe59b9929f9701f3ecef747259,97ec5443796a4da8b4d45b12092c3eed020416f3,0,2014-05-25,2014-05-31,201421.0,Plus,1986.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,621.0,28.0,536.0,0.0,2020-12-27,Particulier Betalend,1.0,6224.51,0.0,0.0,1.0,44768.92,0.0,0.0,50993.43,0.0,68.0,219.0,0.0,2020-12-27,Particulier Betalend,1.0,1.0,1.0,0.0,1.0,4.0,
2015-03-05,201510,,20af1d23ca8c45babb44796e912854c0d253be3c,bc071975c2c3b10efbfda072ab6715580883d39d,0,2015-03-15,2015-03-31,201511.0,Plus,1962.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,201514,,67a3c117bf99b27653f579969f908d318da664fa,f19bc3a3481334cd7b8b90fdbc6e7e5607b333b4,0,2015-04-12,2015-04-30,201515.0,Plus,1977.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,56.0,0.0,4.0,0.0,2020-12-27,Particulier Betalend,1.0,5836.21,0.0,0.0,1.0,1000.87,1.0,0.19,6837.27,0.19,19.0,29.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,0.0,1.0,3.0,
2016-12-23,201651,,5168b454bfdcebee05d01324228c45a569b3e9ff,a499b2feca456bd90b3385b411012d84130b6c6e,0,2016-12-25,2016-12-31,201651.0,Plus,1950.0,Man,Private Portfolio,0.0,,,,,,9.0,0.0,0.0,0.0,2020-12-27,Particulier Betalend,1.0,2071.53,0.0,0.0,1.0,341.65,1.0,50368.65,52781.83,50368.65,2.0,19.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,0.0,1.0,2.0,
2015-04-20,201517,,25da0cd0ab6f89fa580396f20d53fde9c993bc0a,9a09d76370d9e80bd60162328134f125cc1cf1a9,0,2015-04-26,2015-04-30,201517.0,Zakelijk,1954.0,Man,Corporate Portfolio,0.0,9935740d97ade34cca302c186202808aa42fa32a,2015-04-01 00:00:00.000000,Eenmanszaak,85522.0,85522 - Kunstzinnige vorming van amateurs (geen dansscholen),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-18,201607,,4a6e892aa53c404907a9d4bcf7c8422f5e312089,abd63ec89b497c34db7963ab84c756f5c4a6b9e3,0,2016-02-21,2016-02-29,201607.0,Zakelijk,1978.0,Vrouw,Corporate Portfolio,0.0,a7ab5242a12f528d2064f16fa9922e738f74ae29,2012-06-11 00:00:00.000000,Besloten Vennootschap,69101.0,"69101 - * Advocatenkantoren, bewindvoerders en curatoren",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,201509,,d9884ebd7c4e87749be260422891edec2cdc2d18,bcb63d508f605942e63ba7122718b3b0479e1c80,0,2015-03-01,2015-03-31,201509.0,Plus,1964.0,Vrouw,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,201422,,e352e6ed057f95638b1988ace4d7c5401dd8852e,98b5e4394fe5098dcdb93d7aedbbed83feabe489,0,2014-06-01,2014-06-30,201422.0,Basis,1981.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-17,201420,,418a88aab54a23e960fd0ea8c903835d734c9b11,ec4bb98a3084cabb996f96e7bec38192dbb46872,0,2014-05-25,2014-05-31,201421.0,Basis,1954.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26,201643,,ce09966d129b8ac1e9e8bf01321c774aed03e712,5f808facc5b34e6815edceb1b582b497c40d9815,0,2016-10-30,2016-10-31,201643.0,Plus,1984.0,Vrouw,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,201502,,24c9ede385e8ddb923fa6e83ae7fe801de7af1b9,3fb6a40a6cee43711b8b8580c45dabc106ebf4ee,0,2015-01-25,2015-01-31,201504.0,Zakelijk,1970.0,Vrouw,Corporate Portfolio,0.0,cd01196b1be67a93fe3e15eea4d7d5a2351af83e,2007-02-15 00:00:00.000000,Eenmanszaak,70221.0,70221 - Organisatie-adviesbureaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,201446,,25dea189294085b3c16aad178f05fd67289aa5bc,9f5485c82a241701faca5f95412dee4c4882c85c,0,2014-11-23,2014-11-30,201447.0,Plus,1987.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,201447,,dfdc295c7a9df187d068e3a1ac33d76093451f53,479391ed87b197a293125dcce2fe576a6ceb2df7,0,2014-12-07,2014-12-31,201449.0,Basis,1946.0,Vrouw,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,201501,,7cfb31c4d3d106cfe1fd02c1c70cab1d944effa6,e8fee000677cfff532c28810164d22606cb71747,0,2015-01-11,2015-01-31,201502.0,Zakelijk,1985.0,Mannen,Corporate Portfolio,0.0,719b8c05683eb6b6779883d336c1b77d52ab059f,2015-01-01 00:00:00.000000,Vennootschap onder firma,4120.0,4120 - * Algemene burgerlijke en utiliteitsbouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,201442,,c24cf636737963783e3dedbf83bf34673bfa88b4,a5de7aefa64c2599b112ad13c1c974b9a8033f18,0,2014-10-19,2014-10-31,201442.0,Plus,1986.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,201440,,55d390b9b5d1200c85584801d6738577def9f5e0,c0ac6afe78e3cef764bdb8cb2df7429f7972fad4,0,2014-10-12,2014-10-31,201441.0,Zakelijk,1965.0,Man,Corporate Portfolio,0.0,ce7c37e7fc14b0e090919eab695807205b5fbe79,2012-06-01 00:00:00.000000,Eenmanszaak,6201.0,"6201 - Ontwikkelen, produceren en uitgeven van software",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,201445,,730c483db7d6fecec7e4bdf0dca72111d24006ce,07ef19f2dbef27c880711d1d72312d9c67073f96,0,2014-11-16,2014-11-30,201446.0,Basis,1954.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-24,201443,,6d7343ae4dd037af8cfc53389678fefe355850e4,29d93f12d2e9a9d5a548f4970f035adcebb23940,0,2014-10-26,2014-10-31,201443.0,Plus,1981.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,143.0,2.0,146.0,2.0,2020-12-27,Particulier Betalend,1.0,1801.44,0.0,0.0,0.0,0.0,0.0,0.0,1801.44,0.0,25.0,143.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,0.0,1.0,4.0,
2015-12-07,201550,,ee3fa4195b790b480825f4382fe589273108351c,ca8462916b64e29b73547cd3b1cf88ba7b9d9b0a,0,2015-12-13,2015-12-31,201550.0,Plus,1962.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,5.0,0.0,0.0,0.0,2020-12-27,Particulier Betalend,1.0,43.84,0.0,0.0,1.0,0.03,1.0,703.34,747.21,703.34,1.0,4.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,0.0,1.0,2.0,
2014-09-16,201438,,1bbaccb3f301a24b734c96c543244da489fc7889,30b4dd377236dbf4d2149503c632afdec1be5e2a,0,2014-09-21,2014-09-30,201438.0,Basis,1972.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,0.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,0.02,0.0,0.0,1.0,32.82,0.0,0.0,32.84,0.0,0.0,19.0,7.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,1.0,1.0,
2016-09-30,201639,,74daa77b23395ec66a174ebc73e10f355fb48e41,8d391010f34fa1f23042060c60a6f4d9a2bc47c8,0,2016-10-09,2016-10-31,201640.0,Plus,1971.0,Vrouw,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-09,201249,,abf36830cdf2e02b7ad3070df79b60a40f7a6682,41fd60ed0951368f23fa83fcb6b222ef8ad5d2a8,0,2013-10-06,2013-10-31,201340.0,Premium,1948.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,252.0,0.0,124.0,16.0,2020-12-27,Particulier Betalend,1.0,4707.44,0.0,0.0,1.0,45037.12,0.0,0.0,49744.56,0.0,75.0,249.0,4.0,2020-12-27,Particulier Betalend,0.0,1.0,1.0,1.0,1.0,4.0,
2014-03-08,201410,,510ec808e7a6bfd3cccccb3a3f650fc5716630b0,d88ccd40efcbd93d4991f56a4a05cd18047c0688,0,2014-03-16,2014-03-31,201411.0,Basis,1984.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,201301,,bb18b6dfca9b417a97c1ce5061b974332fca4549,b9dba5246e6734d546063465cffdb55ff0aa71a9,0,2013-10-06,2013-10-31,201340.0,Premium,1970.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,201436,,c17da1ac1a2d8459948d132768fd2f331441d039,5c5f82fa36b5e229b7ba18c0d874dd0a426a5fea,0,2014-09-28,2014-09-30,201439.0,Zakelijk,1959.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,24d06a0a18e2ef16ff64db6b248bbe481fd1d651,1990-12-19 20:28:00.000000,Besloten Vennootschap,6420.0,6420 - *Financiële holdings,3.0,0.0,0.0,0.0,2020-12-27,Zakelijk pakket,1.0,1675.82,0.0,0.0,1.0,100552.91,0.0,0.0,102228.73,0.0,0.0,13.0,0.0,2020-12-27,Zakelijk pakket,0.0,1.0,0.0,1.0,1.0,2.0,
2015-10-09,201541,,8f092b2f05d54f6cf75a30223fe77045d747b8e0,4fefd575a86294a37078e8b3d3d2370d6108a34b,0,2015-10-11,2015-10-31,201541.0,Zakelijk,1965.0,Man,Corporate Portfolio,0.0,70ca5fa9ff51031466dbfc00bdef0d1db47489ec,2015-10-06 00:00:00.000000,Besloten Vennootschap,70221.0,70221 - Organisatie-adviesbureaus,59.0,0.0,6.0,0.0,2020-12-27,Zakelijk pakket,1.0,1942.57,0.0,0.0,1.0,687.12,1.0,0.01,2629.7,0.01,19.0,351.0,8.0,2020-12-27,Zakelijk pakket,0.0,1.0,0.0,0.0,1.0,4.0,
2015-04-24,201517,,20af1d23ca8c45babb44796e912854c0d253be3c,542586257299d90869ccc216d4fa5dacc794dfc9,0,2015-04-26,2015-04-30,201517.0,Zakelijk,1960.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,42c9376a80cd70bfbc06913cb0113f9c6f273804,2015-04-30 00:00:00.000000,Vennootschap onder firma,8621.0,8621 - Praktijken van huisartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-26,201422,,3351cf4f933c2fefbd179f4c99e49a40a054128b,6b114d9e7f895c452dbf89134dbb983ae28eadba,0,2014-06-01,2014-06-30,201422.0,Plus,1974.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,136.0,0.0,78.0,0.0,2020-12-27,Particulier Betalend,1.0,1204.81,0.0,0.0,1.0,11927.64,0.0,0.0,13132.45,0.0,21.0,44.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,1.0,1.0,4.0,
2014-02-05,201406,,4290a2c5783e20e9a776562e59a55a1483552982,e3f90817e463abab668a685cda5a14b2404e5b72,0,2014-02-09,2014-02-28,201406.0,Plus,1978.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,201434,,9a0353a02883b4cea1c05091cdf8248ae3299eea,e6616336820827874b1ee7be658ae4c8c3aaab2e,0,2014-08-31,2014-08-31,201435.0,Basis,1953.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,246.0,0.0,258.0,2.0,2020-12-27,Particulier Betalend,1.0,1939.67,0.0,0.0,1.0,102200.0,0.0,0.0,104139.67,0.0,42.0,188.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,1.0,1.0,1.0,4.0,
2014-09-02,201436,,b0575c05e6e66736b698c736883c34f390cb4035,d5d668d496448d4a4dd3e9bb2878611a2d195bf7,0,2014-09-07,2014-09-30,201436.0,Basis,1958.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,201705,,113945a0204094ee6be7423b1b316612f125bec8,aac76efbf536da70461deca6632da4cf876c3cf9,0,2017-02-05,2017-02-28,201705.0,Zakelijk,1976.0,Vrouw,Corporate Portfolio,0.0,75d72f339eda902e7e07575bc62bc5a59d9759c2,2011-06-15 00:00:00.000000,Eenmanszaak,70221.0,70221 - Organisatie-adviesbureaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,201419,,131bb06b7a3bbba0ca6f1f1a60793570e79c50bc,48dbb73b3ae364e2f44a4a9358dfc0d7882eb43a,0,2014-05-18,2014-05-31,201420.0,Plus,1982.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,201502,,4958c4162cdc7fc7b7d210165f9eec2182ee5fd5,a4ece7c2f0ae252d09f736d8e651286c95490c78,0,2015-01-18,2015-01-31,201503.0,Basis,1942.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,3.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,0.0,0.0,0.0,1.0,5783.55,0.0,0.0,5783.55,0.0,0.0,0.0,0.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,1.0,2.0,
2014-08-10,201432,,50e9d1190314c75d559db1226cfda66490a16b84,cc9ab7ba1b2b9c1b7c9bb42f76b7a7d3fedec4eb,0,2014-08-10,2014-08-31,201432.0,Basis,1987.0,Man,Private Portfolio,0.0,,,,,,0.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,0.0,1.0,
2015-03-30,201514,,caefbbfeea7f54aac34a6e35e9ccb9cc0a32ed61,d75c5d123b31b6fbebdc750e868d779f1668acd1,0,2015-04-05,2015-04-30,201514.0,Plus,1987.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,441.0,0.0,234.0,8.0,2020-12-27,Particulier Betalend,1.0,1858.67,0.0,0.0,1.0,1591.11,1.0,70.0,3519.78,70.0,62.0,239.0,0.0,2020-12-27,Particulier Betalend,1.0,1.0,1.0,0.0,1.0,4.0,
2015-01-18,201503,,4cbf0e02f1f33ebb2a3df25d5f6167b8f6d4fbc0,1449d76a359b355519c565311ac06ffca91edac3,0,2018-08-19,2018-08-31,201833.0,Plus,1959.0,Vrouw,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,201447,,7e0477c1b8f04e858871a0844e9fe5c0b582e3de,f4154730dac009b14f0f4270c30f3336dfce478f,0,2014-11-23,2014-11-30,201447.0,Zakelijk,1962.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,471f1d0ba34c6677fdd50f1fece1c661f815d6f3,1996-10-03 00:00:00.000000,Besloten Vennootschap,69201.0,69201 - Registeraccountants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-11,201715,,e0039af80f04ff1a11ca52a807ad86ace8e98660,51ad669227957a95f19a7d589b00dfd4e72ca88e,0,2019-06-02,2019-05-31,201922.0,Plus,1991.0,Vrouw,Private Portfolio,0.0,,,,,,42.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,508.32,0.0,0.0,1.0,3600.7,0.0,0.0,4109.02,0.0,16.0,91.0,0.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,1.0,3.0,
2018-03-14,201811,,57604ad7e17bd7d8fdb49c7c877408ec1fd1933b,6ecd9679a9a230c7c8e3e51108a8656cd6b7e12f,0,2018-03-18,2018-03-31,201811.0,Zakelijk,1983.0,Man,Corporate Portfolio,0.0,008adaedcecb01c77b7e239ab542a0ea92eb98d3,2008-07-13 00:00:00.000000,Eenmanszaak,59111.0,59111 - Productie van films (geen televisiefilms),,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2017-02-14,201707,,79c22216a5f27d473775df8b60588cad47652ffd,6b92b501690f3162bef206f537a839e4535c5ca3,0,2016-08-14,2016-08-31,201632.0,Zakelijk,1973.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,c9e4a542345f8ad1c35019a2172b5b129d936edc,2017-01-01 00:00:00.000000,Vennootschap onder firma,74201.0,74201 - Fotografie,204.0,0.0,4.0,0.0,2020-12-27,Zakelijk pakket,1.0,7694.88,0.0,0.0,1.0,2562.81,1.0,0.0,10257.69,0.0,39.0,100.0,2.0,2020-12-07,Zakelijk pakket,1.0,1.0,0.0,0.0,1.0,4.0,1.0
2014-12-22,201452,,8f092b2f05d54f6cf75a30223fe77045d747b8e0,ae39bcbef4c392a4e60a11b44ab8f60b1c804962,0,2015-04-26,2015-04-30,201517.0,Premium,1965.0,Man,Private Portfolio,0.0,,,,,,186.0,0.0,70.0,0.0,2020-12-27,Particulier Betalend,1.0,1536.28,0.0,0.0,1.0,2253.39,0.0,0.0,3789.67,0.0,49.0,351.0,8.0,2020-12-27,Particulier Betalend,1.0,1.0,0.0,0.0,1.0,4.0,
2014-06-17,201425,,0c986e3aa26ea7887610c7f9c30e0a2f88180d41,95847fe08be80b8221e719357ee5bec9f4ccf6b6,0,2014-06-22,2014-06-30,201425.0,Zakelijk,1960.0,Man,Corporate Portfolio,0.0,67e6fc612cb02e98aa57178d033901c8a5764733,2014-06-06 10:19:00.000000,Besloten Vennootschap,6420.0,6420 - *Financiële holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2018-02-23,201808,,fcf24a9ca0cb0c279c3d7b03912c44ffce9ca056,2ddbe526a57954abda1f2a287a7a1c01a8d59a3d,0,2018-03-04,2018-03-31,201809.0,Zakelijk,1963.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,d08c65506778fbf022685bdf461666ebaea8d422,1974-11-22 00:00:00.000000,Vennootschap onder firma,4725.0,4725 - Winkels in dranken,6.0,0.0,0.0,0.0,2020-12-27,Zakelijk pakket,1.0,770.88,0.0,0.0,1.0,119033.42,0.0,0.0,119804.3,0.0,0.0,7.0,0.0,2020-12-27,Zakelijk pakket,0.0,1.0,0.0,0.0,1.0,2.0,1.0
2014-07-22,201430,,3a7886e4cfafa14ae11acbd9846dedeba10aac10,a6370e8d5fdfee3b9dde7f02c04df6af8fd57757,0,2014-07-27,2014-07-31,201430.0,Plus,1977.0,Man,Private Portfolio,0.0,,,,,,8.0,0.0,0.0,0.0,2020-12-27,Particulier Betalend,1.0,1990.0,0.0,0.0,1.0,32543.57,1.0,0.0,34533.57,0.0,2.0,22.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,1.0,1.0,2.0,
