valid_from_dateeow,valid_to_dateeow,personid,age_hh,hh_child,hh_size,income,educat4,housetype,finergy_tp,lfase,business_x,huidigewaarde_klasse,business_y,aantaltegenrekeningenlaatsteq_business,aantalloginsapp_business,aantalloginsweb_business,activitystatus_business,accountoverlay,retail,aantaltegenrekeningenlaatsteq_retail,aantalloginsapp_retail,aantalloginsweb_retail,activitystatus_retail,joint,aantaltegenrekeningenlaatsteq_joint,aantalloginsapp_joint,aantalloginsweb_joint,activitystatus_joint,portofliocountstotal,birthyear,geslacht
2019-02-10,,09e058b648d03d078b8e09154957622caaaabc8d,2.0,9.0,10.0,2.0,2.0,5.0,G20,1.0,1.0,3.0,1.0,,,,,,1.0,,,,,,,,,,2,1994.0,Vrouw
2018-02-04,,26fe99e2ca3744b7647fd4558117937460e757e5,7.0,9.0,11.0,2.0,2.0,5.0,A02,7.0,1.0,3.0,,,,,,,,,,,,1.0,0.0,4.0,0.0,2.0,2,1962.0,Man(nen) en vrouw(en)
2016-07-10,,63b61a0b8b65a02d1d6745aa6443504ba6a28921,7.0,1.0,3.0,5.0,3.0,5.0,G21,5.0,1.0,9.0,1.0,5.0,1.0,9.0,3.0,,,,,,,,,,,,2,1968.0,Man
2017-05-21,,31053864cce1a80db0829bcc76ee5881ed87c0f0,9.0,1.0,3.0,5.0,4.0,1.0,C07,5.0,2.0,9.0,1.0,26.0,189.0,0.0,4.0,,,,,,,,,,,,2,1994.0,Man
2018-11-04,,ad3f6003a15c5055b6b48a0f42fe1bc3d6bef22f,2.0,1.0,3.0,3.0,3.0,4.0,C09,2.0,1.0,4.0,1.0,17.0,74.0,0.0,4.0,1.0,,,,,,,,,,,2,1987.0,Man
2018-12-30,,8f393f93aaffe5511788a887b662bd122308e956,2.0,1.0,3.0,2.0,2.0,4.0,F18,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,2,1980.0,Man
2014-08-17,,c9a29fce697afe54d3c656c442bd70c7b94674e1,10.0,9.0,11.0,3.0,2.0,2.0,C09,8.0,1.0,4.0,,,,,,,,,,,,,,,,,2,,
2020-10-25,,e9674a1820a20c424442814e381b9e1c30eb5bf7,8.0,1.0,3.0,5.0,3.0,1.0,C07,5.0,1.0,9.0,,,,,,,1.0,,,,,,,,,,1,1967.0,Vrouw
2015-02-08,,afb082cd18d7626e35ea05dcf71e2d47452f2d49,2.0,1.0,2.0,3.0,3.0,4.0,F16,2.0,1.0,4.0,,,,,,,,,,,,,,,,,1,,
2019-12-01,,19c7fddfe8f5348f4745757c1c43d0a0ebb5fcda,5.0,2.0,4.0,3.0,4.0,4.0,F16,3.0,1.0,5.0,,,,,,,1.0,,,,,1.0,,,,,2,1993.0,Man(nen) en vrouw(en)
2019-12-01,,19c7fddfe8f5348f4745757c1c43d0a0ebb5fcda,5.0,2.0,4.0,3.0,4.0,4.0,F16,3.0,1.0,5.0,,,,,,,1.0,,,,,1.0,,,,,2,1993.0,Vrouw
2014-12-21,,2c5dd698ea62fad4ec6af2d176c4c9e82e5a0f7e,6.0,9.0,10.0,5.0,3.0,2.0,F17,6.0,1.0,5.0,1.0,9.0,29.0,0.0,4.0,,,,,,,,,,,,2,1969.0,Man(nen) en vrouw(en)
2016-04-17,,caa4c4b8fa1d611889bdb7a99d16887c22b70c8f,2.0,9.0,10.0,3.0,2.0,2.0,C09,1.0,1.0,4.0,,,,,,,,,,,,1.0,32.0,483.0,0.0,4.0,2,1986.0,Man(nen) en vrouw(en)
2020-09-20,,aadff91bbe3d6674698c09837f9b174995ec764d,8.0,1.0,3.0,4.0,2.0,2.0,C09,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,2,1960.0,Man
2014-05-11,,04049f477a3d7aa2b08f9ee1624313bcd8752882,8.0,2.0,4.0,5.0,4.0,1.0,A01,5.0,2.0,8.0,,,,,,,1.0,,,,,,,,,,1,1966.0,Vrouw
2019-03-31,,0d4b257f980c52a6fc646ad2b894a31b60bdb1b3,3.0,9.0,10.0,1.0,2.0,5.0,G22,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1,,
2020-02-23,,e2145261ba6ef80cd63e773a4df7e2e4e4af6b63,10.0,9.0,11.0,5.0,4.0,3.0,A01,8.0,2.0,9.0,1.0,0.0,6.0,0.0,1.0,,,,,,,,,,,,2,1991.0,Man(nen) en vrouw(en)
2015-01-11,,256bd69df423f9634d48c24a9a3419f05c244371,5.0,1.0,2.0,5.0,4.0,4.0,G21,5.0,1.0,5.0,,,,,,,,,,,,,,,,,2,,
2019-04-21,,22f5dda5274f39185fa55a7b259413a444654d73,5.0,9.0,11.0,4.0,2.0,3.0,F16,6.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,1,1978.0,Man
2020-11-01,,4e30b39530b2ee7c9f9901f355fb05d48b7ad648,,,,,,,Z99,,5.0,0.0,1.0,,,,,,,,,,,,,,,,2,1969.0,Vrouw
2014-05-18,,9755625ba3a218aec0bfeef84d329f3401683907,10.0,9.0,11.0,5.0,3.0,3.0,D13,8.0,1.0,6.0,,,,,,,,,,,,1.0,41.0,94.0,0.0,4.0,2,1950.0,Man(nen) en vrouw(en)
2016-09-11,,7f2c1219ddfd2a16e228e261b66f86b68c90450d,7.0,2.0,4.0,3.0,2.0,2.0,C06,5.0,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,2,1968.0,Vrouw
2016-09-11,,7f2c1219ddfd2a16e228e261b66f86b68c90450d,7.0,2.0,4.0,3.0,2.0,2.0,C06,5.0,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,2,1965.0,Man(nen) en vrouw(en)
2017-08-06,,dd9206ff3037716b65793c8962d1b54f15e9f363,4.0,9.0,11.0,3.0,2.0,3.0,F18,6.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,2,1979.0,Vrouw
2018-07-15,,af250ccabfdbc63b698e0cf88a805e1a8f1a4b20,9.0,9.0,11.0,4.0,2.0,4.0,C09,7.0,1.0,3.0,,,,,,,1.0,20.0,264.0,0.0,4.0,,,,,,1,1962.0,Man
2014-12-21,,ab9b6eaae86a0a6e4119dbc7d3f360a524e76f14,3.0,9.0,10.0,3.0,4.0,5.0,G22,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1,,
2015-02-01,,45ba28ebc0a06021b71ab65b6f94e0e07c051ba9,9.0,1.0,3.0,5.0,3.0,4.0,B05,4.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,2,1958.0,Man
2018-06-10,,6f889375db3c714edb2663b0fca261a681845706,4.0,9.0,10.0,2.0,3.0,4.0,F18,6.0,1.0,3.0,1.0,2.0,25.0,4.0,4.0,,,,,,,,,,,,3,1979.0,Man
2016-01-24,,fd71899868cd721b840470e0186faffc3597def5,8.0,9.0,10.0,5.0,2.0,5.0,C09,7.0,1.0,7.0,,,,,,,,,,,,1.0,2.0,6.0,0.0,1.0,2,1963.0,Man(nen) en vrouw(en)
2016-10-16,,e014bdfb5c3141a1c246c84c8e18476eddaf2101,5.0,2.0,4.0,1.0,2.0,5.0,J27,4.0,1.0,2.0,,,,,,,,,,,,,,,,,1,,
2017-04-16,,9cf8cdc564ff476b55d8950339e6fb284e4bf5c4,7.0,2.0,4.0,5.0,2.0,2.0,C06,4.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,2,1975.0,Vrouw
2014-09-28,,33fb72c680aaf7543899eb8c9b9e3a0ad13b2a85,9.0,9.0,11.0,5.0,3.0,4.0,B05,7.0,2.0,6.0,,,,,,,,,,,,,,,,,2,,
2014-09-14,,e90e1723cdf7e46eaf717060c0a82233f9d807ee,3.0,9.0,10.0,5.0,4.0,1.0,C07,1.0,1.0,8.0,,,,,,,,,,,,1.0,,,,,2,1993.0,Man(nen) en vrouw(en)
2019-12-29,,cb82a6a56392a89d07ddf50f0ded5331a14c2613,8.0,9.0,10.0,1.0,2.0,5.0,H23,7.0,2.0,2.0,1.0,3.0,9.0,0.0,1.0,,,,,,,,,,,,2,1963.0,Man
2016-03-20,,40a7830931f5c8a7c9eba13272bcc541767d8ed3,7.0,9.0,11.0,5.0,3.0,1.0,C07,7.0,2.0,9.0,2.0,,,,,,,,,,,,,,,,3,1964.0,Vrouw
2016-11-06,,8f21d07cf0827067c7a55757cb8203f9a9072beb,8.0,2.0,4.0,5.0,4.0,1.0,A01,5.0,2.0,10.0,,,,,,,1.0,,,,,,,,,,1,1954.0,Man
2014-12-21,,db1a8016f67d1c2719d39dc1ebd96b161729a163,7.0,2.0,4.0,3.0,2.0,2.0,C08,3.0,2.0,4.0,,,,,,,,,,,,1.0,49.0,78.0,0.0,4.0,2,1968.0,Man(nen) en vrouw(en)
2016-10-02,,74daa77b23395ec66a174ebc73e10f355fb48e41,6.0,1.0,2.0,3.0,2.0,4.0,F19,5.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,1,1971.0,Vrouw
2019-03-17,,45b2fcc5adba6ffff19f86a71a2d771b5412cb3c,4.0,3.0,5.0,5.0,4.0,4.0,B04,3.0,1.0,7.0,1.0,,,,,1.0,,,,,,,,,,,2,1983.0,Vrouw
2017-01-01,,8b333f410564b9946225f8db2716f73e6166ea09,8.0,9.0,11.0,5.0,2.0,4.0,C06,7.0,1.0,8.0,,,,,,,,,,,,,,,,,2,,
2019-07-07,,7f70c788a8adbb4bacb67c628de14ab1dc6c1545,7.0,2.0,4.0,5.0,3.0,1.0,A01,3.0,1.0,8.0,1.0,1.0,3.0,6.0,1.0,,,,,,,,,,,,2,1968.0,Man
2020-12-13,,ebf6d5529bdb7b309e991c9148df87c40c8d2af0,,,,,,,Z99,,6.0,0.0,1.0,109.0,545.0,0.0,4.0,1.0,1.0,5.0,545.0,0.0,3.0,,,,,,2,1998.0,Man
2020-03-01,,955c861220440a702d89f7dc93a7606ec173bbed,8.0,9.0,11.0,5.0,3.0,1.0,F19,7.0,2.0,9.0,1.0,7.0,47.0,0.0,1.0,,,,,,,,,,,,2,1976.0,Vrouw
2016-11-20,,8bbd6becece5954dfb158759ecf5fea5c38c7d97,6.0,2.0,4.0,5.0,4.0,1.0,C07,5.0,2.0,8.0,,,,,,,1.0,17.0,19.0,0.0,3.0,1.0,37.0,114.0,0.0,4.0,2,1970.0,Man(nen) en vrouw(en)
2016-11-20,,8bbd6becece5954dfb158759ecf5fea5c38c7d97,6.0,2.0,4.0,5.0,4.0,1.0,C07,5.0,2.0,8.0,,,,,,,1.0,17.0,19.0,0.0,3.0,1.0,37.0,114.0,0.0,4.0,2,1970.0,Man
2019-06-16,,d218f579dc9b8f22bd3f16a7bcac5684f600ebbd,5.0,9.0,10.0,5.0,4.0,5.0,G20,6.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,2,1974.0,Man
2015-11-08,,43cfb547ad3e8090b91569486fc9672d56dc143f,8.0,1.0,3.0,5.0,3.0,4.0,B05,5.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2018-07-15,,2a41a23c7cf36447cb6eb8fb52427c7ab20eec17,1.0,9.0,10.0,1.0,4.0,5.0,G21,1.0,1.0,9.0,,,,,,,1.0,,,,,,,,,,1,1984.0,Vrouw
2015-05-31,,de4aeb4b7dd8ec151559c772144070f8d7a3895e,3.0,2.0,4.0,4.0,4.0,4.0,A01,2.0,2.0,7.0,1.0,60.0,194.0,1.0,4.0,,,,,,,1.0,22.0,194.0,0.0,4.0,3,1982.0,Man(nen) en vrouw(en)
2015-05-31,,de4aeb4b7dd8ec151559c772144070f8d7a3895e,3.0,2.0,4.0,4.0,4.0,4.0,A01,2.0,2.0,7.0,1.0,60.0,194.0,1.0,4.0,,,,,,,1.0,22.0,194.0,0.0,4.0,3,1987.0,Mannen
2019-05-26,,886a51742f7dd09d4c9221ab8b5cf50ab5e65917,1.0,9.0,11.0,4.0,4.0,3.0,C06,1.0,1.0,9.0,,,,,,,,,,,,,,,,,2,,
2014-03-16,,c17da1ac1a2d8459948d132768fd2f331441d039,8.0,1.0,3.0,5.0,4.0,1.0,A01,5.0,2.0,9.0,1.0,0.0,13.0,0.0,2.0,,1.0,3.0,10.0,0.0,3.0,,,,,,3,1959.0,Man(nen) en vrouw(en)
2014-03-16,,c17da1ac1a2d8459948d132768fd2f331441d039,8.0,1.0,3.0,5.0,4.0,1.0,A01,5.0,2.0,9.0,1.0,0.0,13.0,0.0,2.0,,1.0,3.0,10.0,0.0,3.0,,,,,,3,1959.0,Man
2020-09-20,,921c33445ad9fed04cadd17c14a72a3ebdc58b50,6.0,9.0,11.0,3.0,2.0,4.0,C08,6.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,2,1974.0,Vrouw
2020-07-19,,771662eda3897f1e4b6010b19d73f89f997c0c12,12.0,9.0,10.0,1.0,1.0,4.0,I26,8.0,1.0,2.0,1.0,6.0,78.0,3.0,3.0,,,,,,,1.0,2.0,101.0,3.0,2.0,3,1986.0,Vrouw
2020-07-19,,771662eda3897f1e4b6010b19d73f89f997c0c12,12.0,9.0,10.0,1.0,1.0,4.0,I26,8.0,1.0,2.0,1.0,6.0,78.0,3.0,3.0,,,,,,,1.0,2.0,101.0,3.0,2.0,3,1986.0,Man(nen) en vrouw(en)
2019-10-06,,7cc0bcb6a9ee0689bdc5800f3bcf3d3925de6299,12.0,9.0,11.0,2.0,2.0,5.0,E15,8.0,1.0,2.0,1.0,16.0,113.0,0.0,4.0,,,,,,,,,,,,2,1964.0,Man
2020-11-29,,2e04c4d1a6e146153c1650e47614cc04f3789f5f,5.0,3.0,5.0,5.0,4.0,2.0,B04,4.0,2.0,8.0,1.0,2.0,132.0,0.0,3.0,,,,,,,,,,,,2,1983.0,Man
2017-09-10,,0542fab45280f924e96ee6e94d14d712cac5b301,4.0,9.0,11.0,3.0,2.0,5.0,F17,6.0,2.0,3.0,,,,,,,,,,,,,,,,,2,,
2018-12-02,,e4c146068aa70470f959be8f1bce3cb118607830,7.0,2.0,4.0,5.0,2.0,1.0,C08,5.0,1.0,8.0,,,,,,,1.0,,,,,,,,,,1,1966.0,Man
2017-02-12,,28b73cd99321a4c7381cf7e4c6fe93a3c2edf1f3,6.0,9.0,11.0,5.0,3.0,1.0,F19,6.0,2.0,5.0,2.0,5.0,44.0,0.0,3.0,,,,,,,,,,,,3,1970.0,Man
2017-02-12,,28b73cd99321a4c7381cf7e4c6fe93a3c2edf1f3,6.0,9.0,11.0,5.0,3.0,1.0,F19,6.0,2.0,5.0,2.0,5.0,44.0,0.0,3.0,,,,,,,,,,,,3,1970.0,Man(nen) en vrouw(en)
2019-08-18,,3436bee233690b337542640412a5345b4633599b,6.0,1.0,3.0,2.0,2.0,1.0,F19,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,2,1975.0,Man(nen) en vrouw(en)
2018-06-24,,022ad85ca20f9dc49efa2d2e368002aed75503d1,6.0,3.0,5.0,3.0,2.0,4.0,F16,4.0,2.0,4.0,1.0,2.0,5.0,0.0,1.0,,1.0,1.0,5.0,0.0,1.0,,,,,,2,1972.0,Vrouw
2017-07-02,,7c9c72105175f3c56253a8266e4021f57b45c10b,7.0,2.0,4.0,5.0,3.0,4.0,C06,5.0,2.0,9.0,,,,,,,,,,,,,,,,,2,,
2020-09-20,,63ffc5f9ff635d51c1c212e9f3470b67ce71d0c0,13.0,9.0,11.0,3.0,2.0,5.0,J30,8.0,1.0,6.0,,,,,,,,,,,,1.0,,,,,2,1962.0,Man(nen) en vrouw(en)
